"","country","date","searches"
"773","Peru",2003-06-29,394
"774","Poland",2003-06-29,NA
"775","Romania",2003-06-29,553
"776","Russia",2003-06-29,NA
"777","South.Africa",2003-06-29,NA
"778","Spain",2003-06-29,NA
"779","Sweden",2003-06-29,NA
"780","Switzerland",2003-06-29,NA
"781","Ukraine",2003-06-29,NA
"782","United.States",2003-06-29,NA
"783","Uruguay",2003-06-29,251
"784","Argentina",2003-07-06,325
"785","Australia",2003-07-06,NA
"786","Austria",2003-07-06,NA
"787","Belgium",2003-07-06,NA
"788","Bolivia",2003-07-06,480
"789","Brazil",2003-07-06,256
"790","Bulgaria",2003-07-06,NA
